Species_2021,Abbreviation_standard
% litter,vole litter
and pol,And pol
arc alp,Arc alp
bare gr.,bare
bet nan,Bet nan
car big,Car big
cas tet,Cas tet
dead bet,St. D. Bet.
dead bet/sal,St. D. Bet.
dead ev.,litter
dead evg,Dead ledum
dead sal,St. D. Sal pul
emp nig,Emp nig
eri vag,Eri vag
ev. litter,litter
fr boil,frost boil
grass ex.,grass
holes,vole hole
led pal,Led pal
lichen,lichen
litter,litter
moss,moss
ped lap,Ped lap
pet fri,Pet fri
pol bis,Pol bis
rub cha,Rub cha
sal pul,Sal pul
sal ret,Sal ret
trails,vole
vac uli,Vac uli
vac vit,Vac vit