Year ,Block,Treatment,1,2,3,4,5,6,7,8
2019,1,CT,61.5,67.5,79.5,99,77,79.5,61.5,64.5
2019,1,F2,70.5,65,49,56.5,51.5,54.5,54,79.5
2019,1,F5,73,62.5,61,48.5,71,51.5,63,34.5
2019,1,F10,78,58,87,86,59,70,107,67.5
2019,1,GH,122.5,85,87.5,113,65.5,114.5,,
2019,2,CT,73,74,91.5,89,57.5,96,81.5,72
2019,2,GH,108.5,94.5,98.5,82,83,95,,
2019,2,F2,74,89,70,94.5,82.5,94,95.5,95
2019,2,F5,65.5,47.5,51.5,67,46.5,66.5,89.5,70.5
2019,2,F10,83,71.5,69,85,88,109.5,93.5,95
2019,3,CT,82.5,80.5,83,82,82,107,64,85
2019,3,GH,94.5,78.5,80.5,62.5,96,77,,
2019,3,F5,77,66,76.5,101.5,70,70.5,81.5,71.5
2019,3,F10,74,71,96.5,94,70.5,83,81,90
2019,3,F2,74.5,96,97.5,76.5,76.5,91,74,71.5
2018,1,CT,130,124,131,141,142,117,136,117
2018,1,F2,139,117,104,112,123,134,117,100
2018,1,F5,106,86,113,99,101,108,125,95
2018,1,F10,104,84,109,98,98,114,113,100
2018,1,GH,113,99,116,90,135,99,,
2018,2,CT,129,120,155,79,115.5,110,143,142.5
2018,2,GH,126.5,112.5,133,103,155,105.5,,
2018,2,F2,143,123,176,143,140,77.5,135.5,89.5
2018,2,F5,98,79,129,77,109,68,96,77.5
2018,2,F10,121,88,85,122,101,116,88,117.5
2018,3,CT,87.5,98.5,106.5,87.5,99.5,84.5,96.5,81
2018,3,F2,163,106,126,104,99.5,85.5,119,117.5
2018,3,F5,91.5,69,66,64.5,64,69,65,69
2018,3,F10,76,78,69.5,88,70.5,56,77,91.5
2018,3,GH,96,108,105.5,86,100.5,106,,
2018,4,CT,105,99,90.5,95,93.5,106,108,106.5
2018,4,GH,92.5,102,87,90.5,82,86.5,,
2017,1,CT,66,115,76,121,63,119,89,116
2017,1,F5,99,87,114,124,115,100,126,96
2017,1,F10,107,140,115,108,82,105,95,90
2017,2,CT,96,73,116,61,97,78,111,59
2017,2,F2,61,113,103,75,75,106,106,71
2017,2,F5,75,54,99,55,89,45,95,77
2017,2,F10,70,76,87,60,112,92,137,86
2017,3,CT,88,67,97,72,95,79,108,68
2017,3,F2,73,132,80,106,57,75,65,101
2017,3,F5,65,75,83,70,94,56,67,61
2017,3,F10,93,89,86,95,112,96,129,93
2020,1,F5,78,66,81,78,68,,,
2020,1,F10,79,66,74.5,75,50,,,
2020,1,CT,82,77,97,101.5,80.5,,,
2020,1,F2,76,88,90,70,67,,,
2020,2,F5,67.5,73.5,56,65.5,55.5,,,
2020,2,CT,88.5,74.5,77.5,95.5,83,,,
2020,2,F10,66.5,39.5,54,78,76.5,,,
2020,2,F2,68,95.5,67.5,98.5,81,,,
2020,3,F2,74,90,85.5,90,71,,,
2020,3,F5,61.5,80,67.5,74.5,68.5,,,
2020,3,CT,81,83,71,91,75,,,
2020,3,F10,63,60,69.5,71,87,,,
2020,4,CT,67,93.5,78.5,109,129,,,