,DecimalDegrees,DecimalDegrees,m asl,,JulianDay,,,,,,,cm,,,mm,g,g,g/g,cm2,cm2/g,
SiteName,Latitude,Longitude,Altitude,Treatment,DOY_measured,Year_measured,SpeciesName,Taxon,Ind,Code,BFun,PlantHeight_Veg,WBI,NDVI,LeafThick,FreshMass,DryMass,LDMC,LeafArea,SLA,DataContributor
Atqasuk,70.45,157.4,30,None,194,2018,Betula nana,BETNAN,1,BETNAN1,DSHR,19.4,1.003718571,0.8300984079,0.23,0.0071,0.0036,0.5070422535,0.70989,197.1916667,Katlyn Betway
Atqasuk,70.45,157.4,30,None,194,2018,Betula nana,BETNAN,2,BETNAN2,DSHR,23.2,1.005782321,0.8748451487,0.13,0.0083,0.0044,0.5301204819,0.84131,191.2068182,Katlyn Betway
Atqasuk,70.45,157.4,30,None,194,2018,Betula nana,BETNAN,3,BETNAN3,DSHR,13.5,1.006886956,0.8278505807,0.21,0.0078,0.0036,0.4615384615,0.74006,205.5722222,Katlyn Betway
Atqasuk,70.45,157.4,30,None,194,2018,Betula nana,BETNAN,4,BETNAN4,DSHR,16.6,1.000471864,0.855083704,0.23,0.007,0.0037,0.5285714286,0.60749,164.1864865,Katlyn Betway
Atqasuk,70.45,157.4,30,None,194,2018,Betula nana,BETNAN,5,BETNAN5,DSHR,10.2,0.998924966,0.8342391499,0.31,0.0105,0.0049,0.4666666667,0.82506,168.3795918,Katlyn Betway
Atqasuk,70.45,157.4,30,None,194,2018,Betula nana,BETNAN,6,BETNAN6,DSHR,21.2,0.9972689729,0.8509475914,0.22,0.0047,0.0027,0.5744680851,0.60612,224.4888889,Katlyn Betway
Atqasuk,70.45,157.4,30,None,194,2018,Betula nana,BETNAN,7,BETNAN7,DSHR,10.7,0.9919050061,0.842774482,0.27,0.0056,0.0045,0.8035714286,0.64721,143.8244444,Katlyn Betway
Atqasuk,70.45,157.4,30,None,194,2018,Betula nana,BETNAN,8,BETNAN8,DSHR,23.6,0.988483496,0.8290866049,0.18,0.006,0.0046,0.7666666667,0.66558,144.6913043,Katlyn Betway
Atqasuk,70.45,157.4,30,None,194,2018,Betula nana,BETNAN,9,BETNAN9,DSHR,13,0.9956877582,0.8481488604,0.22,0.0078,0.0036,0.4615384615,0.77666,215.7388889,Katlyn Betway
Atqasuk,70.45,157.4,30,None,194,2018,Betula nana,BETNAN,10,BETNAN10,DSHR,26.3,0.9975444129,0.8715207214,0.31,0.007,0.0035,0.5,0.55862,159.6057143,Katlyn Betway
Atqasuk,70.45,157.4,30,None,193,2018,Carex aquatilis,CARAQU,1,CARAQU1,GRAM,28.7,1.01238952,0.7983247407,0.52,0.0962,0.0582,0.604989605,4.54178,78.03745704,Katlyn Betway
Atqasuk,70.45,157.4,30,None,193,2018,Carex aquatilis,CARAQU,2,CARAQU2,GRAM,25.5,1.011812782,0.7057920905,0.39,0.0724,0.0351,0.4848066298,2.41889,68.91424501,Katlyn Betway
Atqasuk,70.45,157.4,30,None,193,2018,Carex aquatilis,CARAQU,3,CARAQU3,GRAM,17.3,0.9654955407,0.7041482253,0.47,0.0182,0.0169,0.9285714286,0.82454,48.78934911,Katlyn Betway
Atqasuk,70.45,157.4,30,None,193,2018,Carex aquatilis,CARAQU,4,CARAQU4,GRAM,8.2,0.999286381,0.6721757966,0.28,0.0085,0.0051,0.6,0.89871,176.2176471,Katlyn Betway
Atqasuk,70.45,157.4,30,None,193,2018,Carex aquatilis,CARAQU,5,CARAQU5,GRAM,17.9,1.005575249,0.7446487287,0.28,0.0189,0.0106,0.5608465608,1.33268,125.7245283,Katlyn Betway
Atqasuk,70.45,157.4,30,None,193,2018,Carex aquatilis,CARAQU,6,CARAQU6,GRAM,18,1.012148346,0.7775699919,0.2,0.0332,0.0322,0.9698795181,1.41561,43.96304348,Katlyn Betway
Atqasuk,70.45,157.4,30,None,193,2018,Carex aquatilis,CARAQU,7,CARAQU7,GRAM,22.4,1.0103911,0.7181133777,0.21,0.0496,0.0254,0.5120967742,2.32515,91.54133858,Katlyn Betway
Atqasuk,70.45,157.4,30,None,193,2018,Carex aquatilis,CARAQU,8,CARAQU8,GRAM,26.5,1.018280353,0.7667986056,0.19,0.0291,0.0152,0.5223367698,1.17917,77.57697368,Katlyn Betway
Atqasuk,70.45,157.4,30,None,193,2018,Carex aquatilis,CARAQU,9,CARAQU9,GRAM,27.7,1.015569532,0.7339180349,0.32,0.0846,0.0447,0.5283687943,3.49468,78.18076063,Katlyn Betway
Atqasuk,70.45,157.4,30,None,193,2018,Carex aquatilis,CARAQU,10,CARAQU10,GRAM,17.7,1.005772823,0.69718315,0.2,0.0306,0.0223,0.7287581699,1.43085,64.16367713,Katlyn Betway
Atqasuk,70.45,157.4,30,None,192,2018,Cassiope tetragona,CASTET,1,CASTET1,ESHR,6.9,0.9957983129,0.7994560556,1.46,0.0251,0.0185,0.7370517928,0.48053,25.97459459,Katlyn Betway
Atqasuk,70.45,157.4,30,None,192,2018,Cassiope tetragona,CASTET,2,CASTET2,ESHR,4.4,1.000455058,0.851713188,1.48,0.0558,0.0377,0.6756272401,0.97071,25.74827586,Katlyn Betway
Atqasuk,70.45,157.4,30,None,192,2018,Cassiope tetragona,CASTET,3,CASTET3,ESHR,6.1,0.9948023763,0.7669224361,1.76,0.0827,0.057,0.6892382104,1.03685,18.19035088,Katlyn Betway
Atqasuk,70.45,157.4,30,None,192,2018,Cassiope tetragona,CASTET,4,CASTET4,ESHR,6.2,0.9715147293,0.6410042108,2.24,0.0744,0.0534,0.7177419355,1.15742,21.67453184,Katlyn Betway
Atqasuk,70.45,157.4,30,None,192,2018,Cassiope tetragona,CASTET,5,CASTET5,ESHR,5.2,0.9555019368,0.6927923655,1.51,0.0782,0.0651,0.8324808184,1.58146,24.29278034,Katlyn Betway
Atqasuk,70.45,157.4,30,None,192,2018,Cassiope tetragona,CASTET,6,CASTET6,ESHR,6.1,0.9792349795,0.880003856,1.69,0.1081,0.081,0.749306198,1.88266,23.24271605,Katlyn Betway
Atqasuk,70.45,157.4,30,None,192,2018,Cassiope tetragona,CASTET,7,CASTET7,ESHR,6,0.9785084397,0.7301240097,1.86,0.1003,0.0733,0.7308075773,1.55541,21.21978172,Katlyn Betway
Atqasuk,70.45,157.4,30,None,192,2018,Cassiope tetragona,CASTET,8,CASTET8,ESHR,7.3,0.9426766713,0.6127392678,1.46,0.0382,0.0337,0.8821989529,0.75212,22.31810089,Katlyn Betway
Atqasuk,70.45,157.4,30,None,192,2018,Cassiope tetragona,CASTET,9,CASTET9,ESHR,6.5,0.9789264895,0.776846044,2.14,0.0681,0.0485,0.7121879589,1.07916,22.25072165,Katlyn Betway
Atqasuk,70.45,157.4,30,None,192,2018,Cassiope tetragona,CASTET,10,CASTET10,ESHR,6.3,0.9832737221,0.7854802765,1.69,0.0763,0.0488,0.6395806029,1.10562,22.65614754,Katlyn Betway
Atqasuk,70.45,157.4,30,None,193,2018,Eriophorum angustifolium,ERIANG,1,ERIANG1,GRAM,32.9,1.014313321,0.7717095854,0.49,0.2501,0.1063,0.425029988,7.66192,72.07826905,Katlyn Betway
Atqasuk,70.45,157.4,30,None,193,2018,Eriophorum angustifolium,ERIANG,2,ERIANG2,GRAM,23.6,1.024000295,0.651516856,0.19,0.099,0.0345,0.3484848485,2.86777,83.12376812,Katlyn Betway
Atqasuk,70.45,157.4,30,None,193,2018,Eriophorum angustifolium,ERIANG,3,ERIANG3,GRAM,18.7,1.023501609,0.6445500818,0.41,0.0883,0.0351,0.3975084938,2.43393,69.34273504,Katlyn Betway
Atqasuk,70.45,157.4,30,None,193,2018,Eriophorum angustifolium,ERIANG,4,ERIANG4,GRAM,27,1.020865817,0.6161191491,0.48,0.1388,0.0542,0.3904899135,4.15356,76.63394834,Katlyn Betway
Atqasuk,70.45,157.4,30,None,193,2018,Eriophorum angustifolium,ERIANG,5,ERIANG5,GRAM,30.3,0.9986585174,0.6015240938,0.59,0.0732,0.0482,0.6584699454,3.94382,81.8219917,Katlyn Betway
Atqasuk,70.45,157.4,30,None,193,2018,Eriophorum angustifolium,ERIANG,6,ERIANG6,GRAM,24.1,1.005856414,0.7772606193,0.42,0.064,0.0327,0.5109375,2.60979,79.81009174,Katlyn Betway
Atqasuk,70.45,157.4,30,None,193,2018,Eriophorum angustifolium,ERIANG,7,ERIANG7,GRAM,20.7,1.00591244,0.7115999166,0.52,0.1138,0.056,0.4920913884,3.69174,65.92392857,Katlyn Betway
Atqasuk,70.45,157.4,30,None,193,2018,Eriophorum angustifolium,ERIANG,8,ERIANG8,GRAM,26.1,1.007409857,0.7131894143,0.51,0.1331,0.0514,0.3861758077,4.09487,79.66673152,Katlyn Betway
Atqasuk,70.45,157.4,30,None,193,2018,Eriophorum angustifolium,ERIANG,9,ERIANG9,GRAM,30.1,0.9860616875,0.7583555322,0.43,0.0467,0.0345,0.73875803,3.08606,89.45101449,Katlyn Betway
Atqasuk,70.45,157.4,30,None,193,2018,Eriophorum angustifolium,ERIANG,10,ERIANG10,GRAM,22.2,1.008915588,0.7019802875,0.29,0.0776,0.0265,0.3414948454,2.78885,105.2396226,Katlyn Betway
Atqasuk,70.45,157.4,30,None,192,2018,Eriophorum russeolum,ERIRUS,1,ERIRUS1,GRAM,7.9,0.9878143411,0.716629526,0.1,0.0109,0.0077,0.7064220183,0.71809,93.25844156,Katlyn Betway
Atqasuk,70.45,157.4,30,None,192,2018,Eriophorum russeolum,ERIRUS,2,ERIRUS2,GRAM,8.3,0.9838336779,0.68006025,0.83,0.0185,0.0096,0.5189189189,0.82337,85.76770833,Katlyn Betway
Atqasuk,70.45,157.4,30,None,192,2018,Eriophorum russeolum,ERIRUS,3,ERIRUS3,GRAM,8.2,0.9888406322,0.7633095813,1.13,0.0276,0.0095,0.3442028986,0.50674,53.34105263,Katlyn Betway
Atqasuk,70.45,157.4,30,None,192,2018,Eriophorum russeolum,ERIRUS,4,ERIRUS4,GRAM,8.4,0.9804431778,0.7138455563,0.9,0.0135,0.0106,0.7851851852,1.04714,98.78679245,Katlyn Betway
Atqasuk,70.45,157.4,30,None,192,2018,Eriophorum russeolum,ERIRUS,5,ERIRUS5,GRAM,8.8,0.9854031065,0.7591970695,1.03,0.0175,0.0108,0.6171428571,0.72035,66.69907407,Katlyn Betway
Atqasuk,70.45,157.4,30,None,192,2018,Eriophorum russeolum,ERIRUS,6,ERIRUS6,GRAM,9,0.9763558778,0.7527457541,1.09,0.0132,0.0101,0.7651515152,0.72921,72.1990099,Katlyn Betway
Atqasuk,70.45,157.4,30,None,192,2018,Eriophorum russeolum,ERIRUS,7,ERIRUS7,GRAM,6.8,0.9801227437,0.6444533712,0.83,0.0076,0.0058,0.7631578947,0.60433,104.1948276,Katlyn Betway
Atqasuk,70.45,157.4,30,None,192,2018,Eriophorum russeolum,ERIRUS,8,ERIRUS8,GRAM,10.1,0.938344458,0.6750794866,0.85,0.0123,0.01,0.8130081301,1.02114,102.114,Katlyn Betway
Atqasuk,70.45,157.4,30,None,192,2018,Eriophorum russeolum,ERIRUS,9,ERIRUS9,GRAM,9.4,0.9854468205,0.647927381,0.81,0.0179,0.0105,0.5865921788,0.78798,75.04571429,Katlyn Betway
Atqasuk,70.45,157.4,30,None,192,2018,Eriophorum russeolum,ERIRUS,10,ERIRUS10,GRAM,8.5,0.9865713554,0.7055806694,1.06,0.03,0.0099,0.33,0.82852,83.68888889,Katlyn Betway
Atqasuk,70.45,157.4,30,None,192,2018,Eriophorum vaginatum,ERIVAG,1,ERIVAG1,GRAM,6.6,0.9853492517,0.6293879509,0.61,0.0121,0.0054,0.4462809917,0.4713,87.27777778,Katlyn Betway
Atqasuk,70.45,157.4,30,None,192,2018,Eriophorum vaginatum,ERIVAG,2,ERIVAG2,GRAM,9.7,0.9873815917,0.7268472111,0.79,0.0121,0.0043,0.3553719008,0.35617,82.83023256,Katlyn Betway
Atqasuk,70.45,157.4,30,None,192,2018,Eriophorum vaginatum,ERIVAG,3,ERIVAG3,GRAM,10.8,0.9860574343,0.6916016855,0.83,0.0289,0.0128,0.4429065744,0.93449,73.00703125,Katlyn Betway
Atqasuk,70.45,157.4,30,None,192,2018,Eriophorum vaginatum,ERIVAG,4,ERIVAG4,GRAM,12.5,0.985794881,0.6590972884,1.7,0.0249,0.0095,0.3815261044,0.7638,80.4,Katlyn Betway
Atqasuk,70.45,157.4,30,None,192,2018,Eriophorum vaginatum,ERIVAG,5,ERIVAG5,GRAM,14.2,0.9806766434,0.6904398637,0.7,0.0301,0.013,0.4318936877,0.90786,69.83538462,Katlyn Betway
Atqasuk,70.45,157.4,30,None,192,2018,Eriophorum vaginatum,ERIVAG,6,ERIVAG6,GRAM,12.4,0.9828053782,0.6858530256,0.9,0.0333,0.0127,0.3813813814,0.92024,72.45984252,Katlyn Betway
Atqasuk,70.45,157.4,30,None,192,2018,Eriophorum vaginatum,ERIVAG,7,ERIVAG7,GRAM,9,0.9835685382,0.7201946815,0.77,0.0313,0.0127,0.4057507987,0.99389,78.25905512,Katlyn Betway
Atqasuk,70.45,157.4,30,None,192,2018,Eriophorum vaginatum,ERIVAG,8,ERIVAG8,GRAM,13.1,0.981051511,0.7676789917,0.7,0.0343,0.015,0.4373177843,1.05738,70.492,Katlyn Betway
Atqasuk,70.45,157.4,30,None,192,2018,Eriophorum vaginatum,ERIVAG,9,ERIVAG9,GRAM,13.5,0.9871405,0.694066364,0.82,0.0367,0.0147,0.4005449591,1.23993,84.34897959,Katlyn Betway
Atqasuk,70.45,157.4,30,None,192,2018,Eriophorum vaginatum,ERIVAG,10,ERIVAG10,GRAM,13.8,0.9869885884,0.7313675986,0.51,0.0438,0.0177,0.404109589,1.1115,62.79661017,Katlyn Betway
Atqasuk,70.45,157.4,30,None,195,2018,Ledum palustre,LEDPAL,1,LEDPAL1,ESHR,7,0.9974205904,0.6460690078,0.7,0.0038,0.0033,0.8684210526,0.14753,44.70606061,Katlyn Betway
Atqasuk,70.45,157.4,30,None,195,2018,Ledum palustre,LEDPAL,2,LEDPAL2,ESHR,3.5,0.9950924517,0.6105608466,0.72,0.0035,0.0024,0.6857142857,0.15006,62.525,Katlyn Betway
Atqasuk,70.45,157.4,30,None,195,2018,Ledum palustre,LEDPAL,3,LEDPAL3,ESHR,4.4,0.9839448781,0.5609345506,0.67,0.0024,0.0018,0.75,0.11728,65.15555556,Katlyn Betway
Atqasuk,70.45,157.4,30,None,195,2018,Ledum palustre,LEDPAL,4,LEDPAL4,ESHR,3.2,1.012234005,0.7476138783,0.82,0.0069,0.0045,0.652173913,0.22835,50.74444444,Katlyn Betway
Atqasuk,70.45,157.4,30,None,195,2018,Ledum palustre,LEDPAL,5,LEDPAL5,ESHR,3.3,0.9949020005,0.6539724638,0.37,0.0013,0.0005,0.3846153846,0.06049,120.98,Katlyn Betway
Atqasuk,70.45,157.4,30,None,195,2018,Ledum palustre,LEDPAL,6,LEDPAL6,ESHR,3.1,1.007590932,0.7829381412,0.7,0.0059,0.0035,0.593220339,0.18476,52.78857143,Katlyn Betway
Atqasuk,70.45,157.4,30,None,195,2018,Ledum palustre,LEDPAL,7,LEDPAL7,ESHR,2.3,1.001733194,0.7102402159,0.78,0.0047,0.0031,0.6595744681,0.14279,46.06129032,Katlyn Betway
Atqasuk,70.45,157.4,30,None,195,2018,Ledum palustre,LEDPAL,8,LEDPAL8,ESHR,3.3,0.9999906888,0.6820301549,0.48,0.0027,0.0021,0.7777777778,0.12371,58.90952381,Katlyn Betway
Atqasuk,70.45,157.4,30,None,195,2018,Ledum palustre,LEDPAL,9,LEDPAL9,ESHR,2.7,1.000792815,0.7095863514,0.62,0.0028,0.002,0.7142857143,0.11897,59.485,Katlyn Betway
Atqasuk,70.45,157.4,30,None,195,2018,Ledum palustre,LEDPAL,10,LEDPAL10,ESHR,2,0.9977390248,0.6761286142,0.78,0.0051,0.0037,0.7254901961,0.20327,54.93783784,Katlyn Betway
Atqasuk,70.45,157.4,30,None,194,2018,Luzula confusa,LUZCON,1,LUZCON1,GRAM,5.6,0.9977300528,0.5981745322,0.21,0.0064,0.0046,0.71875,0.52914,115.0304348,Katlyn Betway
Atqasuk,70.45,157.4,30,None,194,2018,Luzula confusa,LUZCON,2,LUZCON2,GRAM,10.1,0.9960292043,0.4829334079,0.23,0.0094,0.0074,0.7872340426,0.34907,47.17162162,Katlyn Betway
Atqasuk,70.45,157.4,30,None,194,2018,Luzula confusa,LUZCON,3,LUZCON3,GRAM,7.5,1.009574198,0.6225446435,0.42,0.016,0.008,0.5,0.75323,94.15375,Katlyn Betway
Atqasuk,70.45,157.4,30,None,194,2018,Luzula confusa,LUZCON,4,LUZCON4,GRAM,8.2,0.9861024286,0.4916261269,0.31,0.005,0.0036,0.72,0.24596,68.32222222,Katlyn Betway
Atqasuk,70.45,157.4,30,None,194,2018,Luzula confusa,LUZCON,5,LUZCON5,GRAM,7.4,0.995491079,0.5774508071,0.47,0.0082,0.0052,0.6341463415,0.50168,96.47692308,Katlyn Betway
Atqasuk,70.45,157.4,30,None,194,2018,Luzula confusa,LUZCON,6,LUZCON6,GRAM,4.8,1.007230628,0.5983877145,0.35,0.0079,0.0051,0.6455696203,0.5014,98.31372549,Katlyn Betway
Atqasuk,70.45,157.4,30,None,194,2018,Luzula confusa,LUZCON,7,LUZCON7,GRAM,6.5,0.9950902377,0.5343430133,0.31,0.0068,0.0046,0.6764705882,0.48753,105.9847826,Katlyn Betway
Atqasuk,70.45,157.4,30,None,194,2018,Luzula confusa,LUZCON,8,LUZCON8,GRAM,6,0.9882302117,0.4761934044,0.23,0.0061,0.0031,0.5081967213,0.25797,83.21612903,Katlyn Betway
Atqasuk,70.45,157.4,30,None,194,2018,Luzula confusa,LUZCON,9,LUZCON9,GRAM,7.3,1.002534698,0.4846437113,0.28,0.0131,0.0074,0.5648854962,0.16437,22.21216216,Katlyn Betway
Atqasuk,70.45,157.4,30,None,194,2018,Luzula confusa,LUZCON,10,LUZCON10,GRAM,5.5,0.9995084206,0.5454334271,0.28,0.0098,0.0076,0.7755102041,0.71377,93.91710526,Katlyn Betway
Atqasuk,70.45,157.4,30,None,194,2018,Pedicularis lanata,PEDLAN,1,PEDLAN1,FORB,5.3,0.9936484587,0.7255110737,0.4,0.0236,0.0102,0.4322033898,0.93668,91.83137255,Katlyn Betway
Atqasuk,70.45,157.4,30,None,194,2018,Pedicularis lanata,PEDLAN,2,PEDLAN2,FORB,7.1,0.9928266863,0.8048912275,0.37,0.0403,0.0137,0.3399503722,1.64538,120.1007299,Katlyn Betway
Atqasuk,70.45,157.4,30,None,194,2018,Pedicularis lanata,PEDLAN,3,PEDLAN3,FORB,1.9,1.00886586,0.7396972438,0.47,0.0185,0.0107,0.5783783784,1.33487,124.7542056,Katlyn Betway
Atqasuk,70.45,157.4,30,None,194,2018,Pedicularis lanata,PEDLAN,4,PEDLAN4,FORB,2,1.025821246,0.6357987871,0.31,0.0424,0.0131,0.3089622642,2.21555,169.1259542,Katlyn Betway
Atqasuk,70.45,157.4,30,None,194,2018,Pedicularis lanata,PEDLAN,5,PEDLAN5,FORB,4,1.028690308,0.5977169288,0.42,0.0403,0.0125,0.3101736973,1.92192,153.7536,Katlyn Betway
Atqasuk,70.45,157.4,30,None,194,2018,Pedicularis lanata,PEDLAN,6,PEDLAN6,FORB,3.7,1.027871758,0.8069036411,0.4,0.023,0.0068,0.2956521739,1.11371,163.7808824,Katlyn Betway
Atqasuk,70.45,157.4,30,None,194,2018,Pedicularis lanata,PEDLAN,7,PEDLAN7,FORB,3.9,1.018584442,0.7275163711,0.34,0.0156,0.0074,0.4743589744,1.1765,158.9864865,Katlyn Betway
Atqasuk,70.45,157.4,30,None,194,2018,Pedicularis lanata,PEDLAN,8,PEDLAN8,FORB,2.8,1.02265601,0.6901313805,0.49,0.0301,0.01,0.3322259136,1.6875,168.75,Katlyn Betway
Atqasuk,70.45,157.4,30,None,194,2018,Pedicularis lanata,PEDLAN,9,PEDLAN9,FORB,2,1.019713361,0.6324115906,0.27,0.0082,0.0034,0.4146341463,0.4843,142.4411765,Katlyn Betway
Atqasuk,70.45,157.4,30,None,194,2018,Pedicularis lanata,PEDLAN,10,PEDLAN10,FORB,4.5,1.019270602,0.675894519,0.48,0.0244,0.0092,0.3770491803,1.45543,158.198913,Katlyn Betway
Atqasuk,70.45,157.4,30,None,191,2018,Petasites frigidus,PETFRI,1,PETFRI1,FORB,4.8,1.041415443,0.8604061019,0.52,0.2729,0.0652,0.2389153536,9.5365,146.2653374,Katlyn Betway
Atqasuk,70.45,157.4,30,None,191,2018,Petasites frigidus,PETFRI,2,PETFRI2,FORB,8.1,1.043265765,0.8650120397,1.05,0.4169,0.0813,0.195010794,12.22099,150.3196802,Katlyn Betway
Atqasuk,70.45,157.4,30,None,191,2018,Petasites frigidus,PETFRI,3,PETFRI3,FORB,5.9,1.034721332,0.8848104884,0.8,0.3689,0.0712,0.1930062348,10.52771,147.8610955,Katlyn Betway
Atqasuk,70.45,157.4,30,None,191,2018,Petasites frigidus,PETFRI,4,PETFRI4,FORB,6.8,1.038759889,0.885497277,0.86,0.3353,0.0667,0.1989263346,10.30037,154.4283358,Katlyn Betway
Atqasuk,70.45,157.4,30,None,191,2018,Petasites frigidus,PETFRI,5,PETFRI5,FORB,7.8,1.035819244,0.7770806311,0.99,0.3662,0.0677,0.1848716548,9.44149,139.460709,Katlyn Betway
Atqasuk,70.45,157.4,30,None,191,2018,Petasites frigidus,PETFRI,6,PETFRI6,FORB,8.9,1.038210498,0.8413793103,0.73,0.608,0.1325,0.2179276316,15.42055,116.3815094,Katlyn Betway
Atqasuk,70.45,157.4,30,None,191,2018,Petasites frigidus,PETFRI,7,PETFRI7,FORB,7.4,1.034826261,0.8225780556,0.82,0.4543,0.1003,0.2207792208,10.5782,105.4656032,Katlyn Betway
Atqasuk,70.45,157.4,30,None,191,2018,Petasites frigidus,PETFRI,8,PETFRI8,FORB,7.5,1.031178113,0.8039277185,0.71,0.5831,0.1366,0.2342651346,17.38046,127.236164,Katlyn Betway
Atqasuk,70.45,157.4,30,None,191,2018,Petasites frigidus,PETFRI,9,PETFRI9,FORB,7.2,1.027160738,0.8351113436,0.71,0.6952,0.1433,0.206127733,15.29004,106.6995115,Katlyn Betway
Atqasuk,70.45,157.4,30,None,191,2018,Petasites frigidus,PETFRI,10,PETFRI10,FORB,6.7,1.029604614,0.8348035971,0.61,0.3551,0.0804,0.2264150943,11.27888,140.2845771,Katlyn Betway
Atqasuk,70.45,157.4,30,None,195,2018,Poa arctica,POAARC,1,POAARC1,GRAM,5.6,1.013135345,0.7807365153,0.22,0.0175,0.0108,0.6171428571,0.97355,90.14351852,Katlyn Betway
Atqasuk,70.45,157.4,30,None,195,2018,Poa arctica,POAARC,2,POAARC2,GRAM,5.6,1.015611049,0.7677361276,0.3,0.0236,0.0114,0.4830508475,1.59902,140.2649123,Katlyn Betway
Atqasuk,70.45,157.4,30,None,195,2018,Poa arctica,POAARC,3,POAARC3,GRAM,5.7,1.014471738,0.7516128822,0.25,0.0162,0.0068,0.4197530864,1.31857,193.9073529,Katlyn Betway
